Type,episode,time_steps,Length,Date,actor_loss,critic_1_loss,critic_2_loss,q_predictions,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,reward
train,1,128.3611204624176,14.0,"February 12, 2024",-0.7003397179346177,0.08213640352182881,0.08180073352234883,0.5194993835119974,1.079390262408898,0.7110776087664138,4.2579497530922925,0.0,,0.02068680767263202,,433.0769199855504,-433.0769199855504
test_jan17,1,65.80023670196533,14.0,"January 16, 2024",NA,NA,NA,NA,1.073213461267364,0.7070084734976306,4.233583673638515,0.0,,0.02031928490933986,,340.5264320114245,-340.5264320114245
test_apr19,1,67.28372383117676,14.0,"April 17, 2024",NA,NA,NA,NA,1.1869428456168838,0.7819307898146712,4.6822202982914565,0.0,,0.0268651922920114,,2037.8509940789165,-2037.8509940789165
train,2,262.7276220321655,14.0,"October 13, 2024",2.5431468752711743,0.6554914383505959,0.28012605318023515,-2.7517183853055722,1.152436715935347,0.7591989410698329,4.546101443531939,0.0,,0.023667400161383054,,1843.3613442005046,-1843.3613442005046
test_jan17,2,131.82665991783142,14.0,"January 16, 2024",NA,NA,NA,NA,1.0330469739983172,0.6805477106813362,4.075135992103818,0.0,,0.020472870615202483,,268.22062241752786,-268.22062241752786
test_apr19,2,145.84290623664856,14.0,"April 17, 2024",NA,NA,NA,NA,1.0867585623226395,0.7159316761652064,4.287016024941369,0.0,,0.025755766571461083,,1636.870864269532,-1636.870864269532
train,3,503.4951481819153,14.0,"March 26, 2024",21.090953314942972,0.8851174264702768,0.6015225287271841,-21.075756582475844,1.1334478900548421,0.746689537038101,4.471194832563483,0.0,,0.026144238637903213,,2290.0090467472696,-2290.0090467472696
test_jan17,3,217.7271921634674,14.0,"January 16, 2024",NA,NA,NA,NA,1.0300253154398413,0.6785571111576074,4.06321623447669,0.0,,0.02036711059929822,,246.20712044319,-246.20712044319
test_apr19,3,224.21956825256348,14.0,"April 17, 2024",NA,NA,NA,NA,1.090192031488991,0.7181935670953099,4.300560282007849,0.0,,0.02704141207309287,,1609.554864655741,-1609.554864655741
train,4,647.5995852947235,14.0,"February 23, 2024",40.39738270782289,2.057975221181377,1.896330374459337,-40.39279378311975,1.0571719068163614,0.6964406644510126,4.170303379946196,0.0,,0.021040610590754287,,735.2217431648046,-735.2217431648046
test_jan17,4,285.10562539100647,14.0,"January 16, 2024",NA,NA,NA,NA,0.9698287474016781,0.6389009894125433,3.8257544276200273,0.0,,0.02004390482012585,,122.65651999824426,-122.65651999824426
test_apr19,4,292.13506412506104,14.0,"April 17, 2024",NA,NA,NA,NA,1.002962607489424,0.6607288183460868,3.9564599900963344,0.0,,0.023412498305346603,,1228.5784851991762,-1228.5784851991762
train,5,780.8663966655731,14.0,"October 12, 2024",54.95682012467157,3.2421120610975085,3.0621955760510726,-54.94125288441067,0.9693551170883264,0.6385889725986195,3.823886063464785,0.0,,0.022089570467605422,,1312.967654622155,-1312.967654622155
test_jan17,5,350.86036586761475,14.0,"January 16, 2024",NA,NA,NA,NA,0.9189784047249877,0.6054019470969332,3.6251613598618744,0.0,,0.019687735381539635,,46.41670447442472,-46.41670447442472
test_apr19,5,358.5045759677887,14.0,"April 17, 2024",NA,NA,NA,NA,0.8564922080991976,0.5642374704243227,3.37866748757079,0.0,,0.022002011885837083,,728.4694317248175,-728.4694317248175
train,6,915.4822313785553,14.0,"February 08, 2024",60.13503461792355,4.5306132343331615,4.297975217723953,-60.120080341895424,0.9084388029885716,0.5984586986157443,3.583585021651163,0.0,,0.01961613208123813,,67.93263230170808,-67.93263230170808
test_jan17,6,415.62701964378357,14.0,"January 16, 2024",NA,NA,NA,NA,0.8730707687893183,0.5751590468947362,3.4440661490702777,0.0,,0.019214717484841482,,24.02676498726529,-24.02676498726529
test_apr19,6,422.97125148773193,14.0,"April 17, 2024",NA,NA,NA,NA,0.8272035206989228,0.5449427532809449,3.2631302591673332,0.0,,0.024352137245340116,,604.768554436555,-604.768554436555
train,7,1048.8982229232788,14.0,"October 13, 2024",60.68657126880827,5.311778701575739,5.005056975919398,-60.66575876162166,0.7823401693027788,0.5153878038404883,3.0861545140148965,0.0,,0.02163500145973144,,406.02951109098564,-406.02951109098564
test_jan17,7,480.12696552276617,14.0,"January 16, 2024",NA,NA,NA,NA,0.8186511692912624,0.5393086598486808,3.229393172746592,0.0,,0.01888508370289483,,93.72343656895622,-93.72343656895622
test_apr19,7,486.82110381126404,14.0,"April 17, 2024",NA,NA,NA,NA,0.7425460339703551,0.4891723379607463,2.9291756764116488,0.0,,0.021804733227257463,,312.95994926242236,-312.95994926242236
train,8,1184.3832530975342,14.0,"December 11, 2024",59.52490161856016,6.289298607346912,5.919171451058771,-59.50661335246904,0.7706349636196292,0.5076766821478415,3.0399801326218086,0.0,,0.018850065124609645,,23.75127550558718,-23.75127550558718
test_jan17,8,545.6272828578949,14.0,"January 16, 2024",NA,NA,NA,NA,0.8794875165414621,0.5793862535006854,3.46937876347716,0.0,,0.01875819047105245,,8.236864879375657,-8.236864879375657
test_apr19,8,550.7377052307129,14.0,"April 17, 2024",NA,NA,NA,NA,0.7554552075009787,0.49767660612490383,2.980099437873675,0.0,,0.02035133530833308,,389.49136603000466,-389.49136603000466
train,9,1320.5013608932495,14.0,"February 02, 2024",55.21463998442604,6.054363635989527,5.723846244980537,-55.20395791814441,0.9322216028211279,0.6141262630024773,3.677402772469918,0.0,,0.018978217089006568,,11.037755985101201,-11.037755985101201
test_jan17,9,611.2442004680634,14.0,"January 16, 2024",NA,NA,NA,NA,0.8681877329776326,0.5719422146243173,3.4248036803851347,0.0,,0.018911686086487384,,13.755012783964133,-13.755012783964133
test_apr19,9,615.3723227977753,14.0,"April 17, 2024",NA,NA,NA,NA,0.7930503142549323,0.5224434022902301,3.128403606528322,0.0,,0.021991538612529116,,471.4008122683287,-471.4008122683287
train,10,1457.801387310028,14.0,"February 05, 2024",51.378506876173475,6.022650813905611,5.796037618647373,-51.37986577408655,0.9409383126388373,0.6198686319948143,3.711788215537815,0.0,,0.019600735089970723,,12.940032311190496,-12.940032311190496
test_jan17,10,675.6782214641571,14.0,"January 16, 2024",NA,NA,NA,NA,0.9086888537722362,0.5986234263509399,3.5845714152750903,0.0,,0.01878608083453915,,8.348471882731843,-8.348471882731843
test_apr19,10,679.8572497367859,14.0,"April 17, 2024",NA,NA,NA,NA,0.7637118369563923,0.5031158847010535,3.0126699682697837,0.0,,0.02084785864807247,,449.12104327849,-449.12104327849
train,11,1591.8317234516144,14.0,"March 24, 2024",49.0115903261162,5.535730801034896,5.344338937174706,-49.014652395532245,0.7593686335922402,0.5002546816958743,2.9955370161429533,0.0,,0.021622515426452254,,488.6190891987661,-488.6190891987661
test_jan17,11,740.3611867427826,14.0,"January 16, 2024",NA,NA,NA,NA,0.9115740343969785,0.6005241173344987,3.5959527984101705,0.0,,0.019300444771532428,,14.520120515553515,-14.520120515553515
test_apr19,11,742.939736366272,14.0,"April 17, 2024",NA,NA,NA,NA,0.7733145472752222,0.5094419305521172,3.050550482348008,0.0,,0.02004305493669916,,439.9543061719143,-439.9543061719143
train,12,1725.531328678131,14.0,"March 30, 2024",50.438702742258705,5.481674609262319,5.271956082123022,-50.43379158633096,0.7331242650113422,0.48296549213764856,2.892008934955981,0.0,,0.02109790869268294,,557.876317504798,-557.876317504798
test_jan17,12,805.8281981945038,14.0,"January 16, 2024",NA,NA,NA,NA,0.9438915846796828,0.6218141800453908,3.7234382038646188,0.0,,0.01934249099928135,,28.16760493174025,-28.16760493174025
test_apr19,12,807.6568610668182,14.0,"April 17, 2024",NA,NA,NA,NA,0.7835060744014776,0.5161558754439703,3.09075374517347,0.0,,0.020062935034151762,,466.9255185939372,-466.9255185939372
train,13,1860.304780960083,14.0,"March 17, 2024",49.38788968040829,5.527122536674142,5.3197112539339635,-49.377340758130664,0.8703114920363476,0.573341298501261,3.433181428151259,0.0,,0.01962747706159465,,132.91598375009372,-132.91598375009372
test_jan17,13,870.6941566467285,14.0,"January 16, 2024",NA,NA,NA,NA,0.9316344747798734,0.6137394764822027,3.675086685522176,0.0,,0.019329621598967076,,25.04340002061916,-25.04340002061916
test_apr19,13,871.8309967517853,14.0,"April 17, 2024",NA,NA,NA,NA,0.7812400232940461,0.5146630528209293,3.08181468755047,0.0,,0.020072965840443817,,481.31497249290135,-481.31497249290135
train,14,1993.8879597187042,14.0,"October 04, 2024",47.96812615650041,5.397455149640639,5.209565611556172,-47.9550623411224,0.6173269630581854,0.4066808790166349,2.4352148444109845,0.0,,0.020005260407246622,,326.7561644525482,-326.7561644525482
test_jan17,14,936.243479013443,14.0,"January 16, 2024",NA,NA,NA,NA,0.9578135918484687,0.6309856798370562,3.7783573642937545,0.0,,0.019617783300321212,,54.18886209702534,-54.18886209702534
test_apr19,14,936.214583158493,14.0,"April 17, 2024",NA,NA,NA,NA,0.789943382592573,0.5203966267966837,3.1161474658484045,0.0,,0.021232852576781293,,472.3876572064655,-472.3876572064655
train,15,2127.520628452301,14.0,"September 28, 2024",48.29315471791086,5.168008931690738,4.996736135067684,-48.274845364547915,0.5592056644346297,0.36839189728040783,2.205939504673094,0.0,,0.02054464237044716,,712.8054479285804,-712.8054479285804
test_jan17,15,1001.9432275295258,14.0,"January 16, 2024",NA,NA,NA,NA,0.9263443248180914,0.610254446724344,3.6542182438583444,0.0,,0.019755633412131476,,30.643162557597662,-30.643162557597662
test_apr19,15,1001.0140767097473,14.0,"April 17, 2024",NA,NA,NA,NA,0.7694454249360954,0.5068930412793992,3.035287672331719,0.0,,0.020146680404536557,,420.47712753849765,-420.47712753849765
train,16,2263.4035091400146,14.0,"March 25, 2024",47.94870198624475,5.000395226114917,4.837904153081278,-47.927090210574015,0.7064071305597052,0.46536485524051563,2.7866158996438006,0.0,,0.020088806161281888,,332.1321174488477,-332.1321174488477
test_jan17,16,1067.9096431732178,14.0,"January 16, 2024",NA,NA,NA,NA,0.9477636840343795,0.6243650305078529,3.7387127575320624,0.0,,0.019314083024114435,,39.85316316350991,-39.85316316350991
test_apr19,16,1065.1143078804016,14.0,"April 17, 2024",NA,NA,NA,NA,0.7497565356866772,0.49392245151745495,2.957619470164396,0.0,,0.02010876016570355,,395.47072169232274,-395.47072169232274
train,17,2400.8700561523438,14.0,"November 09, 2024",46.564351352907366,5.218697100478623,5.044340810028925,-46.53579898959114,0.9692045456070545,0.6384897795517863,3.8232920931244663,0.0,,0.01910388685274112,,8.26028948240514,-8.26028948240514
test_jan17,17,1133.426189661026,14.0,"January 16, 2024",NA,NA,NA,NA,0.9455035617804859,0.6228761136778719,3.7297970878914564,0.0,,0.019449991943449457,,53.61561013116814,-53.61561013116814
test_apr19,17,1128.7808537483215,14.0,"April 17, 2024",NA,NA,NA,NA,0.7699274017347696,0.5072105565668885,3.0371889614783654,0.0,,0.01989782597376054,,472.28870500974057,-472.28870500974057
train,18,2538.7519302368164,14.0,"December 02, 2024",44.09133498015858,5.149920624902561,4.974433863092036,-44.060336261987686,0.9056997746020341,0.5966542893827985,3.572780175944904,0.0,,0.02004545208558651,,37.86418824448271,-37.86418824448271
test_jan17,18,1198.5098705291748,14.0,"January 16, 2024",NA,NA,NA,NA,0.9245681790587614,0.6090843625357518,3.6472117517110862,0.0,,0.019623958529509513,,37.39710934071691,-37.39710934071691
test_apr19,18,1193.5891501903534,14.0,"April 17, 2024",NA,NA,NA,NA,0.7628053767562463,0.5025187294607204,3.0090941883875515,0.0,,0.01959808924042634,,389.98129803558265,-389.98129803558265
train,19,2675.004529237747,14.0,"October 20, 2024",42.638987292846046,4.937285523861647,4.762051774233225,-42.60939955995197,0.7586701234133406,0.4997945191717073,2.9927815519263845,0.0,,0.02042350563406794,,301.88148680411877,-301.88148680411877
test_jan17,19,1263.9106435775757,14.0,"January 16, 2024",NA,NA,NA,NA,0.9278883477530184,0.6112716137071142,3.660309064114459,0.0,,0.019465897024021798,,40.184420055295426,-40.184420055295426
test_apr19,19,1264.0556254386902,14.0,"April 17, 2024",NA,NA,NA,NA,0.7745791057734104,0.5102749927580241,3.0555388787905593,0.0,,0.01976837622903628,,412.0461704926118,-412.0461704926118
train,20,2931.0711476802826,14.0,"November 07, 2024",41.5148533596879,4.688847162583399,4.514037836520445,-41.48594876981917,0.9676858830964713,0.6374893194363318,3.817301313990007,0.0,,0.019920839653021657,,13.6437991414006,-13.6437991414006
test_jan17,20,1346.0777111053467,14.0,"January 16, 2024",NA,NA,NA,NA,0.9321211194865071,0.614060066880657,3.677006388506932,0.0,,0.019435850480129087,,54.64350052609495,-54.64350052609495
test_apr19,20,1343.689189195633,14.0,"April 17, 2024",NA,NA,NA,NA,0.7307064962397083,0.48137272138868314,2.882471385560974,0.0,,0.01952473511431935,,343.74936992759723,-343.74936992759723
train,21,3185.505358695984,14.0,"March 02, 2024",40.039243163097474,4.532311467498186,4.35441966691897,-40.00946083381062,0.8033063128634728,0.5291998195195247,3.168861194727692,0.0,,0.020021230406069006,,249.07257008410653,-249.07257008410653
